Model_Infolen,Additional_Descriptionlen,char_count,word_count,word_density,noun_count,verb_count,adj_count,adv_count
30,52,83,12,6.384615384615385,5,0,3,1
53,26,80,11,6.666666666666667,5,0,2,0
40,1252,1293,109,11.754545454545454,43,10,17,1
31,172,204,29,6.8,9,2,3,2
50,88,139,23,5.791666666666667,10,3,2,0
39,279,319,45,6.934782608695652,11,6,8,2
64,89,154,23,6.416666666666667,8,4,5,0
43,92,136,20,6.476190476190476,7,1,5,0
26,281,308,38,7.897435897435898,12,2,9,2
15,101,117,14,7.8,2,0,4,1
25,390,416,50,8.156862745098039,18,4,5,1
59,1390,1450,182,7.923497267759563,82,16,25,3
34,112,147,20,7.0,8,2,3,0
29,327,357,41,8.5,16,2,6,2
41,341,383,51,7.365384615384615,21,7,8,1
26,55,82,15,5.125,6,0,3,1
46,112,159,24,6.36,11,4,6,1
44,117,162,23,6.75,8,2,3,3
35,109,145,19,7.25,7,2,6,1
38,351,390,47,8.125,12,4,6,1
39,12,52,8,5.777777777777778,4,1,1,1
31,24,56,10,5.090909090909091,4,0,2,0
15,12,28,4,5.6,2,0,0,0
32,167,200,29,6.666666666666667,16,2,2,0
24,71,96,17,5.333333333333333,5,2,1,1
21,94,116,21,5.2727272727272725,10,1,3,2
46,257,304,48,6.204081632653061,22,6,11,2
31,241,273,32,8.272727272727273,8,2,4,0
35,28,64,11,5.333333333333333,4,1,1,2
24,88,113,18,5.947368421052632,6,3,3,1
28,88,117,16,6.882352941176471,3,1,1,1
31,81,113,17,6.277777777777778,5,0,4,1
79,119,199,30,6.419354838709677,10,0,6,6
27,20,48,9,4.8,5,0,0,0
63,124,188,26,6.962962962962963,11,2,10,0
23,15,39,7,4.875,3,0,1,0
37,98,136,23,5.666666666666667,10,0,5,0
20,24,45,9,4.5,5,0,0,0
38,187,226,31,7.0625,8,4,7,1
38,123,162,26,6.0,11,4,5,1
33,187,221,32,6.696969696969697,8,1,7,1
49,118,168,23,7.0,10,1,3,2
59,75,135,21,6.136363636363637,6,2,6,1
14,76,91,14,6.066666666666666,6,2,1,1
12,134,147,21,6.681818181818182,9,1,2,1
69,11,81,17,4.5,15,0,1,0
11,129,141,23,5.875,10,2,2,0
26,371,398,55,7.107142857142857,25,5,8,2
14,16,31,5,5.166666666666667,2,0,1,1
20,138,159,25,6.115384615384615,13,2,3,2
13,9,23,5,3.8333333333333335,2,0,1,1
13,26,40,7,5.0,2,0,1,1
47,24,72,12,5.538461538461538,3,0,2,1
18,111,130,17,7.222222222222222,9,0,4,0
30,54,85,14,5.666666666666667,8,1,3,1
24,12,37,6,5.285714285714286,4,0,1,0
9,92,102,15,6.375,5,3,2,0
30,66,97,15,6.0625,6,2,3,1
19,46,66,12,5.076923076923077,5,1,1,0
49,288,338,48,6.8979591836734695,26,0,5,2
28,59,88,16,5.176470588235294,5,2,2,1
31,78,110,14,7.333333333333333,5,3,1,1
17,126,144,21,6.545454545454546,9,3,2,1
27,15,43,8,4.777777777777778,3,0,2,0
28,150,179,22,7.782608695652174,7,0,3,1
23,27,51,10,4.636363636363637,5,2,1,0
52,96,149,23,6.208333333333333,9,2,4,2
14,55,70,13,5.0,7,0,1,0
38,173,212,34,6.057142857142857,10,1,6,1
19,46,66,11,5.5,7,0,1,0
24,16,41,8,4.555555555555555,2,1,3,1
20,56,77,14,5.133333333333334,5,1,3,1
19,102,122,19,6.1,9,2,2,0
15,44,60,10,5.454545454545454,4,0,1,1
53,56,110,16,6.470588235294118,6,1,4,2
14,128,143,24,5.72,13,0,1,1
20,16,37,7,4.625,2,1,1,0
62,244,307,51,5.903846153846154,18,7,3,1
45,100,146,23,6.083333333333333,9,2,5,0
19,55,75,10,6.818181818181818,2,1,4,0
24,49,74,10,6.7272727272727275,5,1,1,0
25,360,386,49,7.72,24,1,8,2
23,45,69,11,5.75,4,1,2,0
14,47,62,10,5.636363636363637,3,1,0,1
14,87,102,15,6.375,5,1,6,0
63,20,84,9,8.4,4,0,1,1
27,12,40,6,5.714285714285714,3,1,0,0
51,11,63,12,4.846153846153846,5,0,3,0
14,110,125,16,7.352941176470588,4,2,0,2
51,39,91,16,5.352941176470588,6,2,4,1
15,189,205,30,6.612903225806452,7,1,2,0
43,126,170,29,5.666666666666667,12,1,2,1
12,63,76,10,6.909090909090909,3,1,1,0
41,64,106,18,5.578947368421052,9,0,3,0
11,150,162,22,7.043478260869565,9,2,7,0
35,168,204,30,6.580645161290323,11,3,6,3
49,55,105,16,6.176470588235294,6,0,4,2
47,160,208,32,6.303030303030303,12,4,4,6
25,28,54,12,4.153846153846154,4,0,0,1
34,339,374,49,7.48,17,6,9,2
24,41,66,8,7.333333333333333,5,0,0,0
26,327,354,41,8.428571428571429,13,2,7,3
63,49,113,18,5.947368421052632,9,0,2,0
24,98,123,19,6.15,10,1,5,0
20,108,129,19,6.45,7,2,5,0
53,58,112,15,7.0,6,3,2,2
53,59,113,19,5.65,9,0,4,3
57,262,320,44,7.111111111111111,17,2,10,1
18,279,298,34,8.514285714285714,10,0,5,0
41,287,329,50,6.450980392156863,5,0,2,3
13,16,30,6,4.285714285714286,3,1,0,1
39,58,98,18,5.157894736842105,8,0,4,0
47,347,395,47,8.229166666666666,12,4,7,1
28,115,144,27,5.142857142857143,10,2,4,1
27,41,69,11,5.75,6,1,2,0
55,57,113,16,6.647058823529412,8,3,2,0
26,69,96,13,6.857142857142857,2,1,3,1
34,61,96,14,6.4,5,0,2,2
22,91,114,18,6.0,7,2,4,1
46,199,246,40,6.0,22,5,5,0
51,43,95,14,6.333333333333333,5,2,4,1
26,82,109,20,5.190476190476191,6,1,3,2
43,30,74,14,4.933333333333334,4,1,3,0
13,12,26,4,5.2,1,0,1,0
28,579,608,76,7.896103896103896,21,2,10,3
23,48,72,13,5.142857142857143,6,0,1,0
16,20,37,8,4.111111111111111,3,1,1,1
26,95,122,20,5.809523809523809,6,1,6,3
42,333,376,49,7.52,22,5,8,1
42,69,112,14,7.466666666666667,6,2,5,0
38,385,424,58,7.186440677966102,24,9,9,6
26,85,112,17,6.222222222222222,8,0,3,0
23,838,862,105,8.132075471698114,24,4,6,0
14,113,128,20,6.095238095238095,11,0,3,1
23,58,82,12,6.3076923076923075,5,0,4,2
25,34,60,8,6.666666666666667,2,1,1,0
31,61,93,16,5.470588235294118,5,1,3,1
56,241,298,35,8.277777777777779,8,2,5,0
47,156,204,32,6.181818181818182,13,6,5,2
28,339,368,48,7.510204081632653,18,6,7,2
33,192,226,31,7.0625,19,3,4,0
41,197,239,35,6.638888888888889,11,8,8,6
67,12,80,13,5.714285714285714,7,0,5,0
24,120,145,20,6.904761904761905,4,2,4,1
28,274,303,34,8.657142857142857,4,2,3,2
60,139,200,29,6.666666666666667,12,3,4,1
54,54,109,24,4.36,13,4,3,0
42,97,140,24,5.6,9,2,4,1
26,79,106,18,5.578947368421052,7,1,6,0
28,154,183,29,6.1,11,1,7,2
28,49,78,11,6.5,4,3,3,0
38,40,79,11,6.583333333333333,7,0,2,0
13,68,82,14,5.466666666666667,6,1,2,2
19,104,124,19,6.2,9,2,3,1
27,577,605,84,7.117647058823529,29,4,10,3
24,215,240,37,6.315789473684211,19,8,6,0
53,189,243,34,6.942857142857143,15,3,9,0
23,55,79,12,6.076923076923077,5,1,2,1
25,61,87,14,5.8,6,1,3,0
34,218,253,43,5.75,20,2,8,3
43,110,154,21,7.0,8,1,5,1
15,244,260,45,5.6521739130434785,20,7,7,3
47,712,760,104,7.238095238095238,35,4,14,5
20,12,33,6,4.714285714285714,2,0,2,1
33,39,73,11,6.083333333333333,4,1,1,1
50,24,75,10,6.818181818181818,5,0,2,1
22,155,178,21,8.090909090909092,6,0,2,1
51,215,267,39,6.675,20,4,11,1
50,459,510,60,8.360655737704919,20,5,3,3
21,99,121,18,6.368421052631579,7,0,5,1
37,189,227,36,6.135135135135135,19,0,6,3
41,75,117,20,5.571428571428571,8,0,5,1
38,309,348,45,7.565217391304348,16,2,6,1
20,29,50,10,4.545454545454546,2,0,1,1
57,50,108,17,6.0,8,2,4,1
21,91,113,17,6.277777777777778,5,3,2,2
21,76,98,16,5.764705882352941,7,1,2,1
40,27,68,10,6.181818181818182,4,2,1,0
67,12,80,11,6.666666666666667,6,0,2,1
38,723,762,91,8.282608695652174,21,8,8,2
34,157,192,26,7.111111111111111,5,1,5,1
31,37,69,8,7.666666666666667,2,0,3,1
31,688,720,95,7.5,27,4,5,2
21,21,43,7,5.375,2,0,2,1
28,16,45,5,7.5,3,0,1,0
34,395,430,56,7.543859649122807,22,6,9,2
44,345,390,47,8.125,11,3,8,1
39,530,570,68,8.26086956521739,19,2,8,1
39,117,157,24,6.28,10,0,5,3
26,228,255,43,5.795454545454546,21,2,13,1
56,149,206,26,7.62962962962963,15,4,5,0
16,41,58,9,5.8,4,0,1,2
33,48,82,14,5.466666666666667,6,2,3,1
34,282,317,44,7.044444444444444,20,2,5,1
15,148,164,23,6.833333333333333,10,0,4,0
14,125,140,21,6.363636363636363,9,1,4,0
17,156,174,26,6.444444444444445,10,6,4,2
18,16,35,5,5.833333333333333,1,0,0,1
46,151,198,35,5.5,17,1,8,2
15,51,67,11,5.583333333333333,5,2,1,2
39,12,52,9,5.2,3,2,1,0
32,343,376,48,7.673469387755102,19,6,6,2
12,27,40,6,5.714285714285714,1,0,0,1
23,117,141,23,5.875,8,1,7,4
48,114,163,26,6.037037037037037,8,1,6,2
37,347,385,45,8.369565217391305,12,4,7,0
40,427,468,54,8.50909090909091,9,3,4,1
15,15,31,5,5.166666666666667,1,0,2,1
27,564,592,92,6.365591397849462,26,10,12,1
53,28,82,10,7.454545454545454,5,1,4,0
14,12,27,5,4.5,2,0,0,0
45,351,397,48,8.10204081632653,13,4,7,1
20,156,177,27,6.321428571428571,10,6,4,2
15,94,110,17,6.111111111111111,9,2,6,0
19,37,57,8,6.333333333333333,5,1,1,0
17,106,124,19,6.2,6,1,7,0
38,47,86,15,5.375,9,1,1,0
20,96,117,16,6.882352941176471,5,0,6,1
13,38,52,9,5.2,2,1,0,1
38,12,51,6,7.285714285714286,4,0,2,0
72,58,131,20,6.238095238095238,8,1,5,1
28,98,127,22,5.521739130434782,11,2,4,1
45,36,82,12,6.3076923076923075,6,0,2,0
42,111,154,26,5.703703703703703,12,1,5,2
63,20,84,14,5.6,9,1,2,1
12,19,32,4,6.4,1,0,0,1
26,66,93,16,5.470588235294118,4,1,5,1
15,47,63,10,5.7272727272727275,3,0,1,0
49,129,179,29,5.966666666666667,14,1,4,0
55,700,756,91,8.217391304347826,25,7,9,2
39,101,141,23,5.875,10,0,5,1
75,96,172,23,7.166666666666667,9,1,8,1
50,89,140,21,6.363636363636363,9,3,4,1
19,35,55,9,5.5,2,0,4,1
14,194,209,31,6.53125,14,0,5,1
38,22,61,7,7.625,3,0,1,0
48,94,143,21,6.5,5,1,4,3
24,61,86,14,5.733333333333333,5,0,5,1
48,72,121,18,6.368421052631579,8,6,3,1
17,156,174,26,6.444444444444445,10,6,4,2
25,268,294,34,8.4,8,2,2,0
15,19,35,6,5.0,1,0,2,1
24,75,100,14,6.666666666666667,7,1,3,0
16,69,86,14,5.733333333333333,7,0,2,1
18,339,358,46,7.617021276595745,19,6,6,1
44,279,324,45,7.043478260869565,14,6,9,2
52,50,103,15,6.4375,8,1,4,0
49,191,241,32,7.303030303030303,14,1,7,0
23,65,89,15,5.5625,8,1,3,1
14,402,417,61,6.725806451612903,22,5,11,3
18,85,104,15,6.5,5,0,3,1
32,64,97,16,5.705882352941177,8,3,3,0
29,29,59,11,4.916666666666667,5,0,2,0
37,73,111,17,6.166666666666667,8,3,2,1
44,866,911,115,7.853448275862069,38,5,15,1
42,12,55,8,6.111111111111111,4,0,1,0
36,39,76,13,5.428571428571429,6,1,1,1
23,83,107,15,6.6875,2,0,1,1
19,111,131,22,5.695652173913044,7,1,5,1
18,75,94,16,5.529411764705882,4,1,3,1
61,720,782,117,6.627118644067797,38,10,19,4
24,698,723,86,8.310344827586206,20,7,7,3
61,104,166,28,5.724137931034483,12,2,6,4
28,795,824,101,8.07843137254902,24,3,6,1
45,22,68,12,5.230769230769231,4,0,3,1
35,27,63,12,4.846153846153846,4,0,2,1
52,95,148,21,6.7272727272727275,12,1,3,1
38,64,103,20,4.904761904761905,9,2,4,1
22,16,39,7,4.875,4,0,0,0
15,15,31,6,4.428571428571429,4,0,0,0
68,31,100,14,6.666666666666667,6,1,5,1
39,52,92,14,6.133333333333334,6,3,0,0
20,18,39,4,7.8,2,0,1,0
20,82,103,16,6.0588235294117645,6,0,3,2
14,98,113,18,5.947368421052632,7,2,2,0
58,67,126,17,7.0,8,1,3,0
16,883,900,113,7.894736842105263,39,8,12,1
52,80,133,21,6.045454545454546,7,1,5,1
40,52,93,14,6.2,4,0,1,1
43,75,119,19,5.95,10,1,4,0
36,99,136,22,5.913043478260869,13,0,6,0
27,33,61,10,5.545454545454546,5,2,2,0
32,22,55,10,5.0,5,1,1,0
14,47,62,10,5.636363636363637,5,1,1,0
27,59,87,13,6.214285714285714,4,0,4,1
19,29,49,7,6.125,4,0,2,0
35,203,239,30,7.709677419354839,8,5,9,2
27,395,423,62,6.714285714285714,31,5,11,3
22,108,131,21,5.954545454545454,6,4,2,3
28,79,108,17,6.0,9,1,2,1
32,358,391,49,7.82,14,7,6,0
31,74,106,15,6.625,7,1,4,0
25,300,326,40,7.951219512195122,9,2,4,1
27,247,275,39,6.875,17,4,5,1
19,170,190,29,6.333333333333333,15,1,3,1
24,183,208,33,6.117647058823529,16,2,3,3
31,158,190,32,5.757575757575758,10,3,8,3
64,502,567,70,7.985915492957746,21,2,12,1
31,12,44,9,4.4,3,1,3,0
53,199,253,40,6.170731707317073,19,7,7,1
21,18,40,7,5.0,3,1,1,0
13,139,153,23,6.375,8,4,2,1
24,265,290,39,7.25,13,2,3,0
45,347,393,46,8.361702127659575,11,4,7,1
70,211,282,43,6.409090909090909,27,4,3,1
30,12,43,7,5.375,5,0,1,0
20,254,275,39,6.875,10,1,3,2
8,39,48,7,6.0,2,1,2,0
28,147,176,30,5.67741935483871,10,4,8,1
31,144,176,29,5.866666666666666,20,2,1,0
38,108,147,21,6.681818181818182,7,0,4,3
33,45,79,11,6.583333333333333,6,0,2,0
25,61,87,15,5.4375,7,0,2,1
25,77,103,20,4.904761904761905,9,1,5,0
22,19,42,7,5.25,2,0,1,2
28,72,101,16,5.9411764705882355,7,0,6,0
47,12,60,8,6.666666666666667,4,1,2,0
57,31,89,14,5.933333333333334,6,2,2,2
25,160,186,28,6.413793103448276,12,2,3,3
23,12,36,6,5.142857142857143,2,1,1,0
41,343,385,47,8.020833333333334,11,4,9,1
13,21,35,6,5.0,2,0,1,1
20,113,134,19,6.7,11,0,5,1
20,90,111,17,6.166666666666667,8,2,1,0
26,54,81,16,4.764705882352941,9,0,0,0
60,34,95,13,6.785714285714286,4,0,3,1
25,31,57,9,5.7,5,1,2,0
27,125,153,25,5.884615384615385,15,0,6,2
32,405,438,66,6.537313432835821,29,5,12,3
20,40,61,11,5.083333333333333,9,0,2,0
41,45,87,17,4.833333333333333,8,1,2,1
23,38,62,11,5.166666666666667,3,0,1,1
45,208,254,32,7.696969696969697,9,4,4,3
28,347,376,44,8.355555555555556,12,4,6,1
29,727,757,95,7.885416666666667,23,6,7,2
50,11,62,10,5.636363636363637,3,0,2,1
21,410,432,64,6.6461538461538465,18,7,15,6
23,12,36,6,5.142857142857143,3,0,0,1
43,130,174,25,6.6923076923076925,14,1,4,0
32,277,310,34,8.857142857142858,6,2,4,0
31,395,427,57,7.362068965517241,20,5,9,2
7,20,28,4,5.6,1,0,1,0
64,68,133,23,5.541666666666667,10,2,8,0
21,82,104,17,5.777777777777778,4,1,3,1
29,213,243,39,6.075,18,7,7,1
37,342,380,45,8.26086956521739,11,3,7,1
15,43,59,11,4.916666666666667,7,1,1,0
40,96,137,21,6.2272727272727275,10,2,4,0
33,27,61,10,5.545454545454546,5,0,2,1
37,64,102,18,5.368421052631579,7,1,3,0
69,279,349,51,6.711538461538462,16,11,13,4
57,51,109,17,6.055555555555555,7,0,6,0
44,132,177,29,5.9,19,2,4,0
21,318,340,42,7.906976744186046,14,6,6,2
9,20,30,4,6.0,2,0,1,0
51,66,118,19,5.9,6,2,4,0
27,24,52,7,6.5,2,0,3,1
64,22,87,11,7.25,5,1,1,2
13,80,94,15,5.875,6,1,4,1
60,55,116,17,6.444444444444445,9,0,3,1
26,89,116,23,4.833333333333333,10,3,6,0
14,152,167,26,6.185185185185185,8,4,5,1
36,12,49,8,5.444444444444445,3,1,1,1
50,108,159,23,6.625,13,0,4,1
30,60,91,13,6.5,4,2,4,0
20,155,176,27,6.285714285714286,10,1,3,1
49,93,143,22,6.217391304347826,8,3,4,1
40,12,53,8,5.888888888888889,6,0,0,0
41,56,98,14,6.533333333333333,5,1,4,2
20,192,213,30,6.870967741935484,19,2,6,0
30,75,106,21,4.818181818181818,8,0,4,1
14,30,45,8,5.0,2,0,1,1
28,260,289,39,7.225,8,6,4,2
34,54,89,15,5.5625,9,0,3,0
54,221,276,41,6.571428571428571,12,4,6,1
36,40,77,11,6.416666666666667,8,1,1,0
20,89,110,19,5.5,14,1,1,0
13,74,88,16,5.176470588235294,8,0,2,1
51,477,529,72,7.2465753424657535,29,5,11,0
33,27,61,10,5.545454545454546,5,0,2,0
22,12,35,5,5.833333333333333,3,0,1,0
15,62,78,15,4.875,5,2,0,1
9,142,152,20,7.238095238095238,9,1,5,1
31,243,275,34,7.857142857142857,9,2,4,2
44,41,86,11,7.166666666666667,3,1,3,1
38,201,240,30,7.741935483870968,7,2,4,1
48,12,61,9,6.1,5,2,1,0
29,116,146,21,6.636363636363637,5,1,6,3
41,107,149,22,6.478260869565218,10,1,4,0
37,18,56,11,4.666666666666667,5,0,2,0
13,52,66,11,5.5,6,0,1,1
22,93,116,17,6.444444444444445,4,2,4,0
48,36,85,13,6.071428571428571,4,0,4,2
15,373,389,49,7.78,15,7,3,1
40,83,124,23,5.166666666666667,11,0,8,0
17,29,47,9,4.7,5,1,1,1
36,43,80,13,5.714285714285714,8,1,2,1
16,168,185,33,5.4411764705882355,12,2,6,3
17,19,37,5,6.166666666666667,3,0,1,0
47,108,156,25,6.0,12,1,4,1
13,36,50,9,5.0,4,0,3,1
24,546,571,74,7.613333333333333,13,4,12,4
34,82,117,18,6.157894736842105,8,1,4,1
33,395,429,57,7.396551724137931,21,5,9,1
15,36,52,9,5.2,5,0,1,1
36,93,130,16,7.647058823529412,6,2,4,1
43,12,56,8,6.222222222222222,3,0,2,1
37,24,62,10,5.636363636363637,5,0,3,0
33,80,114,21,5.181818181818182,8,1,3,2
15,52,68,10,6.181818181818182,3,0,1,0
31,146,178,24,7.12,7,1,5,0
41,117,159,24,6.36,7,2,5,2
21,60,82,14,5.466666666666667,5,2,3,1
36,347,384,47,8.0,11,4,7,1
16,143,160,22,6.956521739130435,9,2,5,0
14,63,78,11,6.5,2,0,3,0
35,109,145,21,6.590909090909091,10,0,5,2
49,367,417,52,7.867924528301887,20,2,5,0
13,154,168,29,5.6,12,5,8,2
15,62,78,13,5.571428571428571,6,3,0,2
15,97,113,21,5.136363636363637,6,1,4,2
13,82,96,16,5.647058823529412,7,0,3,1
52,87,140,20,6.666666666666667,9,1,1,2
44,347,392,47,8.166666666666666,13,4,7,1
31,22,54,10,4.909090909090909,1,0,4,0
16,11,28,5,4.666666666666667,3,0,0,0
49,64,114,16,6.705882352941177,6,1,4,0
25,16,42,7,5.25,4,0,2,0
51,69,121,18,6.368421052631579,7,0,4,2
40,51,92,15,5.75,4,2,2,2
67,51,119,18,6.2631578947368425,4,2,7,2
13,42,56,8,6.222222222222222,4,0,1,1
20,595,616,99,6.16,17,0,4,2
19,31,51,10,4.636363636363637,6,0,0,0
22,522,545,78,6.89873417721519,34,6,14,3
62,574,637,100,6.306930693069307,26,12,16,3
48,56,105,17,5.833333333333333,7,2,4,0
40,338,379,44,8.422222222222222,11,3,6,1
39,241,281,34,8.028571428571428,6,3,4,1
34,94,129,20,6.142857142857143,7,4,4,1
29,136,166,24,6.64,12,0,6,1
22,49,72,10,6.545454545454546,2,3,2,2
35,340,376,50,7.372549019607843,19,7,8,1
48,17,66,8,7.333333333333333,2,0,2,1
14,12,27,3,6.75,2,0,0,0
35,161,197,35,5.472222222222222,20,4,9,0
14,44,59,10,5.363636363636363,2,0,1,1
17,156,174,26,6.444444444444445,10,6,4,2
15,141,157,28,5.413793103448276,16,2,7,0
24,41,66,10,6.0,3,1,2,1
31,18,50,9,5.0,3,0,2,2
17,343,361,42,8.395348837209303,11,4,6,0
33,35,69,13,4.928571428571429,10,0,2,1
27,23,51,8,5.666666666666667,2,0,1,2
22,23,46,6,6.571428571428571,3,0,2,0
11,35,47,6,6.714285714285714,3,0,2,0
16,79,96,12,7.384615384615385,4,1,2,2
15,192,208,31,6.5,13,2,2,1
21,98,120,22,5.217391304347826,8,0,6,0
21,60,82,14,5.466666666666667,5,1,2,0
34,49,84,14,5.6,7,1,2,1
